icd10_id,icd10_lbl,mondo_id,mondo_lbl,hb_id,hb_lbl
A925,Zika virus disease,http://purl.obolibrary.org/obo/MONDO_0018661,Zika virus disease,,
E7872,Smith-Lemli-Opitz syndrome,http://purl.obolibrary.org/obo/MONDO_0010035,Smith-Lemli-Opitz syndrome,,
G601,Refsum's disease,http://purl.obolibrary.org/obo/MONDO_0009958,Refsum's disease,,
G710,Muscular dystrophy,http://purl.obolibrary.org/obo/HP_0003560,Muscular dystrophy,http://purl.obolibrary.org/obo/HP_0003560,Muscular dystrophy
G71220,X-linked myotubular myopathy,http://purl.obolibrary.org/obo/MONDO_0010683,X-linked myotubular myopathy,,
G80,Cerebral palsy,,,http://purl.obolibrary.org/obo/HP_0100021,Cerebral palsy
K40,Inguinal hernia,http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia,http://purl.obolibrary.org/obo/HP_0000023,Inguinal hernia
K41,Femoral hernia,,,http://purl.obolibrary.org/obo/HP_0100541,Femoral hernia
M2601,Maxillary hyperplasia,,,http://purl.obolibrary.org/obo/HP_0430028,Maxillary hyperplasia
M2602,Maxillary hypoplasia,,,http://purl.obolibrary.org/obo/HP_0000327,Maxillary hypoplasia
M2603,Mandibular hyperplasia,,,http://purl.obolibrary.org/obo/HP_0000303,Mandibular hyperplasia
M2604,Mandibular hypoplasia,,,http://purl.obolibrary.org/obo/HP_0000347,Mandibular hypoplasia
P293,Persistent fetal circulation,,,http://purl.obolibrary.org/obo/HP_0011726,Persistent fetal circulation
P95,Stillbirth,http://purl.obolibrary.org/obo/HP_0003826,Stillbirth,http://purl.obolibrary.org/obo/HP_0003826,Stillbirth
Q000,Anencephaly,,,http://purl.obolibrary.org/obo/HP_0002323,Anencephaly
Q001,Craniorachischisis,,,http://purl.obolibrary.org/obo/HP_0030770,Craniorachischisis
Q002,Iniencephaly,,,http://purl.obolibrary.org/obo/HP_0034205,Iniencephaly
Q01,Encephalocele,http://purl.obolibrary.org/obo/MONDO_0016057,Encephalocele,http://purl.obolibrary.org/obo/HP_0002084,Encephalocele
Q010,Frontal encephalocele,,,http://purl.obolibrary.org/obo/HP_0007330,Frontal encephalocele
Q011,Nasofrontal encephalocele,,,http://purl.obolibrary.org/obo/HP_0011818,Nasofrontal encephalocele
Q012,Occipital encephalocele,,,http://purl.obolibrary.org/obo/HP_0002085,Occipital encephalocele
Q02,Microcephaly,http://purl.obolibrary.org/obo/HP_0000252,Microcephaly,http://purl.obolibrary.org/obo/HP_0000252,Microcephaly
Q041,Arhinencephaly,,,http://purl.obolibrary.org/obo/HP_0002139,Arhinencephaly
Q042,Holoprosencephaly,,,http://purl.obolibrary.org/obo/HP_0001360,Holoprosencephaly
Q045,Megalencephaly,,,http://purl.obolibrary.org/obo/HP_0001355,Megalencephaly
Q05,Spina bifida,http://purl.obolibrary.org/obo/HP_0002414,Spina bifida,http://purl.obolibrary.org/obo/HP_0002414,Spina bifida
Q060,Amyelia,,,http://purl.obolibrary.org/obo/HP_0100566,Amyelia
Q064,Hydromyelia,,,http://purl.obolibrary.org/obo/HP_0100565,Hydromyelia
Q100,Congenital ptosis,,,http://purl.obolibrary.org/obo/HP_0007970,Congenital ptosis
Q112,Microphthalmos,,,http://purl.obolibrary.org/obo/HP_0000568,Microphthalmos
Q120,Congenital cataract,,,http://purl.obolibrary.org/obo/HP_0000519,Congenital cataract
Q123,Congenital aphakia,http://purl.obolibrary.org/obo/HP_0007707,Congenital aphakia,http://purl.obolibrary.org/obo/HP_0007707,Congenital aphakia
Q124,Spherophakia,,,http://purl.obolibrary.org/obo/HP_0034375,Spherophakia
Q130,Coloboma of iris,,,http://purl.obolibrary.org/obo/HP_0000612,Coloboma of iris
Q135,Blue sclera,,,http://purl.obolibrary.org/obo/HP_0000592,Blue sclera
Q1381,Rieger's anomaly,http://purl.obolibrary.org/obo/MONDO_0019187,Rieger's anomaly,,
Q171,Macrotia,http://purl.obolibrary.org/obo/HP_0000400,Macrotia,http://purl.obolibrary.org/obo/HP_0000400,Macrotia
Q172,Microtia,http://purl.obolibrary.org/obo/HP_0008551,Microtia,http://purl.obolibrary.org/obo/HP_0008551,Microtia
Q175,Prominent ear,,,http://purl.obolibrary.org/obo/HP_0000411,Prominent ear
Q184,Macrostomia,,,http://purl.obolibrary.org/obo/HP_0000154,Macrostomia
Q185,Microstomia,,,http://purl.obolibrary.org/obo/HP_0000160,Microstomia
Q200,Common arterial trunk,,,http://purl.obolibrary.org/obo/HP_0001660,Common arterial trunk
Q201,Double outlet right ventricle,,,http://purl.obolibrary.org/obo/HP_0001719,Double outlet right ventricle
Q202,Double outlet left ventricle,http://purl.obolibrary.org/obo/MONDO_0018090,Double outlet left ventricle,http://purl.obolibrary.org/obo/HP_0011581,Double outlet left ventricle
Q205,Discordant atrioventricular connection,,,http://purl.obolibrary.org/obo/HP_0011553,Discordant atrioventricular connection
Q210,Ventricular septal defect,http://purl.obolibrary.org/obo/HP_0001629,Ventricular septal defect,http://purl.obolibrary.org/obo/HP_0001629,Ventricular septal defect
Q211,Atrial septal defect,http://purl.obolibrary.org/obo/HP_0001631,Atrial septal defect,http://purl.obolibrary.org/obo/HP_0001631,Atrial septal defect
Q212,Atrioventricular septal defect,,,http://purl.obolibrary.org/obo/HP_0006695,Atrioventricular septal defect
Q213,Tetralogy of Fallot,,,http://purl.obolibrary.org/obo/HP_0001636,Tetralogy of Fallot
Q220,Pulmonary valve atresia,http://purl.obolibrary.org/obo/HP_0010882,Pulmonary valve atresia,http://purl.obolibrary.org/obo/HP_0010882,Pulmonary valve atresia
Q225,Ebstein's anomaly,http://purl.obolibrary.org/obo/MONDO_0009144,Ebstein's anomaly,http://purl.obolibrary.org/obo/HP_0010316,Ebstein's anomaly
Q226,Hypoplastic right heart syndrome,,,http://purl.obolibrary.org/obo/HP_0010954,Hypoplastic right heart syndrome
Q232,Congenital mitral stenosis,,,http://purl.obolibrary.org/obo/HP_0011570,Congenital mitral stenosis
Q240,Dextrocardia,http://purl.obolibrary.org/obo/HP_0001651,Dextrocardia,http://purl.obolibrary.org/obo/HP_0001651,Dextrocardia
Q242,Cor triatriatum,http://purl.obolibrary.org/obo/MONDO_0015450,Cor triatriatum,http://purl.obolibrary.org/obo/HP_0010774,Cor triatriatum
Q250,Patent ductus arteriosus,,,http://purl.obolibrary.org/obo/HP_0001643,Patent ductus arteriosus
